Time,Treatment,median
0,2mM H2O2,9.509
0,2mM H2O2,9.946
0,2mM H2O2,12.019
0,2mM H2O2,10.547
0,2mM H2O2,7.955
0,2mM H2O2,8.874
30,2mM H2O2,22.337
30,2mM H2O2,27.096
30,2mM H2O2,31.381
30,2mM H2O2,31.163
30,2mM H2O2,16.531
30,2mM H2O2,29.282
45,2mM H2O2,36.885
45,2mM H2O2,48.15
45,2mM H2O2,52.579
45,2mM H2O2,49.084
45,2mM H2O2,20.459
45,2mM H2O2,45.778
60,2mM H2O2,56.199
60,2mM H2O2,66.196
60,2mM H2O2,78.922
60,2mM H2O2,64.901
60,2mM H2O2,29.269
60,2mM H2O2,66.096
90,2mM H2O2,93.765
90,2mM H2O2,85.358
90,2mM H2O2,111.571
90,2mM H2O2,80.744
90,2mM H2O2,54.439
90,2mM H2O2,84.632
120,2mM H2O2,94.315
120,2mM H2O2,81.196
120,2mM H2O2,112.719
120,2mM H2O2,78.42
120,2mM H2O2,61.747
120,2mM H2O2,87.378
150,2mM H2O2,89.945
150,2mM H2O2,75.259
150,2mM H2O2,101.02
150,2mM H2O2,66.221
150,2mM H2O2,60.601
150,2mM H2O2,79.906
180,2mM H2O2,67.893
180,2mM H2O2,54.13
180,2mM H2O2,85.088
180,2mM H2O2,53.614
180,2mM H2O2,53.123
180,2mM H2O2,60.309
210,2mM H2O2,57.347
210,2mM H2O2,43.894
210,2mM H2O2,69.379
210,2mM H2O2,44.89
210,2mM H2O2,46.758
210,2mM H2O2,49.291
240,2mM H2O2,47.017
240,2mM H2O2,39.391
240,2mM H2O2,57.743
240,2mM H2O2,38.699
240,2mM H2O2,40.617
240,2mM H2O2,41.735
0,0mM Pi,9.527
0,0mM Pi,9.832
0,0mM Pi,11.089
0,0mM Pi,10.799
0,0mM Pi,7.627
0,0mM Pi,8.942
30,0mM Pi,10.694
30,0mM Pi,11.02
30,0mM Pi,13.341
30,0mM Pi,12.436
30,0mM Pi,8.701
30,0mM Pi,10.496
45,0mM Pi,13.225
45,0mM Pi,13.094
45,0mM Pi,15.375
45,0mM Pi,14.497
45,0mM Pi,10.506
45,0mM Pi,13.14
60,0mM Pi,15.852
60,0mM Pi,15.567
60,0mM Pi,18.379
60,0mM Pi,16.667
60,0mM Pi,13.543
60,0mM Pi,16.961
90,0mM Pi,20.569
90,0mM Pi,20.779
90,0mM Pi,23.44
90,0mM Pi,21.483
90,0mM Pi,17.695
90,0mM Pi,23.641
120,0mM Pi,24.124
120,0mM Pi,22.822
120,0mM Pi,27.694
120,0mM Pi,24.456
120,0mM Pi,21.165
120,0mM Pi,29.283
150,0mM Pi,31.178
150,0mM Pi,27.744
150,0mM Pi,29.23
150,0mM Pi,25.249
150,0mM Pi,23.617
150,0mM Pi,31.709
180,0mM Pi,28.536
180,0mM Pi,26.476
180,0mM Pi,37.181
180,0mM Pi,31.837
180,0mM Pi,26.088
180,0mM Pi,33.488
210,0mM Pi,29.069
210,0mM Pi,28.383
210,0mM Pi,35.233
210,0mM Pi,30.487
210,0mM Pi,26.089
210,0mM Pi,33.47
240,0mM Pi,30.705
240,0mM Pi,30.008
240,0mM Pi,33.485
240,0mM Pi,31.14
240,0mM Pi,25.672
240,0mM Pi,32.87
0,Control,9.363
0,Control,9.58
0,Control,10.812
0,Control,10.578
0,Control,7.661
0,Control,8.794
30,Control,10.987
30,Control,11.562
30,Control,12.527
30,Control,11.826
30,Control,8.619
30,Control,10.278
45,Control,11.717
45,Control,12.214
45,Control,12.289
45,Control,11.645
45,Control,8.782
45,Control,10.633
60,Control,11.37
60,Control,12.091
60,Control,11.794
60,Control,11.219
60,Control,8.347
60,Control,10.353
90,Control,9.011
90,Control,10.621
90,Control,8.736
90,Control,8.768
90,Control,6.762
90,Control,8.515
120,Control,8.121
120,Control,9.015
120,Control,7.166
120,Control,7.303
120,Control,5.921
120,Control,6.922
150,Control,8.223
150,Control,8.535
150,Control,6.071
150,Control,6.317
150,Control,5.391
150,Control,6.202
180,Control,8.005
180,Control,8.474
180,Control,6.404
180,Control,6.795
180,Control,5.266
180,Control,6.256
210,Control,11.095
210,Control,12.621
210,Control,6.823
210,Control,7.887
210,Control,5.762
210,Control,6.583
240,Control,14.555
240,Control,15.923
240,Control,7.844
240,Control,9.707
240,Control,6.429
240,Control,7.692
