date	species	treatment	target	signal	whole_prot
d021622	Cg	SC	total Rps6	1.142471433	352.7398937
d021622	Cg	Nitrogen Starvation	total Rps6	0.848294199	278.1094503
d021622	Cg	Pi starvation	total Rps6	0.719013393	305.3595965
d021622	Sc	SC	total Rps6	0.949444592	252.1296082
d021622	Sc	Nitrogen Starvation	total Rps6	0.614840984	191.1951067
d021622	Sc	Pi starvation	total Rps6	0.823813915	204.4782841
d021622	Kl	SC	total Rps6	0.997758329	217.2116883
d021622	Kl	Nitrogen Starvation	total Rps6	0.500307977	157.1465381
d021622	Kl	Pi starvation	total Rps6	0.629471183	145.7276736
d021622	Lw	SC	total Rps6	1.838463485	181.3336362
d021622	Lw	Nitrogen Starvation	total Rps6	0.977603197	125.0028915
d021622	Lw	Pi starvation	total Rps6	1.427734077	178.2625014
d021622	Cg	SC	P-Rps6	0.665115356	69.57243156
d021622	Cg	Nitrogen Starvation	P-Rps6	0.032377481	93.63408267
d021622	Cg	Pi starvation	P-Rps6	0.014641523	166.2640674
d021622	Sc	SC	P-Rps6	2.265418649	236.5869775
d021622	Sc	Nitrogen Starvation	P-Rps6	0.135632038	242.7467563
d021622	Sc	Pi starvation	P-Rps6	1.841641605	321.7177546
d021622	Kl	SC	P-Rps6	0.951509058	302.0661937
d021622	Kl	Nitrogen Starvation	P-Rps6	0.01199311	221.4158871
d021622	Kl	Pi starvation	P-Rps6	0.204991043	233.0259166
d021622	Lw	SC	P-Rps6	0.773003519	269.3807149
d021622	Lw	Nitrogen Starvation	P-Rps6	0.19792223	216.7575734
d021622	Lw	Pi starvation	P-Rps6	0.356709599	330.5997218
d030822	Cg	SC	total Rps6	0.774597406	1106.072723
d030822	Cg	Nitrogen Starvation	total Rps6	0.57216233	945.6424408
d030822	Cg	Pi starvation	total Rps6	0.510768592	1059.502472
d030822	Sc	SC	total Rps6	1.517761946	1180.258453
d030822	Sc	Nitrogen Starvation	total Rps6	1.417769074	1176.454773
d030822	Sc	Pi starvation	total Rps6	1.392902017	1262.737762
d030822	Kl	SC	total Rps6	1.480410576	1237.124222
d030822	Kl	Nitrogen Starvation	total Rps6	0.935355186	1221.10585
d030822	Kl	Pi starvation	total Rps6	1.202403784	1221.820618
d030822	Lw	SC	total Rps6	2.54003942	1069.31871
d030822	Lw	Nitrogen Starvation	total Rps6	1.566225648	987.8025513
d030822	Lw	Pi starvation	total Rps6	1.928050637	1219.547531
d030822	Cg	SC	P-Rps6	6.382128954	1284.288712
d030822	Cg	Nitrogen Starvation	P-Rps6	0.049019039	988.8334961
d030822	Cg	Pi starvation	P-Rps6	0.138964951	1143.095444
d030822	Sc	SC	P-Rps6	6.086382866	1279.045395
d030822	Sc	Nitrogen Starvation	P-Rps6	0.308272481	1221.844727
d030822	Sc	Pi starvation	P-Rps6	3.09315443	1231.656311
d030822	Kl	SC	P-Rps6	5.344395161	1226.865265
d030822	Kl	Nitrogen Starvation	P-Rps6	0.192997217	1214.807236
d030822	Kl	Pi starvation	P-Rps6	1.92765522	1252.444382
d030822	Lw	SC	P-Rps6	7.784118652	1109.619049
d030822	Lw	Nitrogen Starvation	P-Rps6	0.561279774	955.1678619
d030822	Lw	Pi starvation	P-Rps6	2.220057964	1312.905701
d031122	Cg	SC	total Rps6	0.656952083	825.9082527
d031122	Cg	Nitrogen Starvation	total Rps6	0.480697513	643.7824373
d031122	Cg	Pi starvation	total Rps6	0.276715219	882.3696651
d031122	Sc	SC	total Rps6	0.299122155	564.7355032
d031122	Sc	Nitrogen Starvation	total Rps6	0.283201933	496.1111116
d031122	Sc	Pi starvation	total Rps6	0.129750431	363.9780602
d031122	Kl	SC	total Rps6	0.317736924	644.8595099
d031122	Kl	Nitrogen Starvation	total Rps6	0.17	290.2621536
d031122	Kl	Pi starvation	total Rps6	0.141932547	503.4133759
d031122	Lw	SC	total Rps6	0.330334306	304.989399
d031122	Lw	Nitrogen Starvation	total Rps6	0.103095293	238.8094254
d031122	Lw	Pi starvation	total Rps6	0.241066337	366.4370499
d031122	Cg	SC	P-Rps6	6.837351561	1168.807648
d031122	Cg	Nitrogen Starvation	P-Rps6	0.056528449	1189.185028
d031122	Cg	Pi starvation	P-Rps6	0.042141974	1140.016357
d031122	Sc	SC	P-Rps6	2.486975789	678.9827423
d031122	Sc	Nitrogen Starvation	P-Rps6	0.13576436	604.251503
d031122	Sc	Pi starvation	P-Rps6	0.82644248	596.8570175
d031122	Kl	SC	P-Rps6	2.653137386	668.0861206
d031122	Kl	Nitrogen Starvation	P-Rps6	0.029105127	473.4257469
d031122	Kl	Pi starvation	P-Rps6	0.384559393	619.5905304
d031122	Lw	SC	P-Rps6	3.298597038	409.2796211
d031122	Lw	Nitrogen Starvation	P-Rps6	0.023329616	312.3188667
d031122	Lw	Pi starvation	P-Rps6	0.207644939	351.6469917
