date,Treatment,Gate,X.Parameter,Count,X.Total,X.Mean,X.Median,X.Peak,X.SD,X..CV,X.rSD,X..rCV,Cg,Sc
d032723,0Pi,High_ROS,BL1-H,5963,9.225,1265,1182,1013,661.36,52.27,176.43,14.93,19.877,29.353
d032723,0Pi,High_ROS,BL1-H,5889,9.077,1267,1180,1012,531.16,41.92,173.46,14.7,19.63,21.463
d032723,0.2mM,High_ROS,BL1-H,4132,6.397,1286,1157,1013,1406.33,109.37,158.64,13.71,13.773,25.517
d032723,0.2mM,High_ROS,BL1-H,4012,6.362,1257,1154,1012,681.16,54.19,151.23,13.1,13.373,27.312
d032723,1mM,High_ROS,BL1-H,5331,8.112,1276,1170,1012,848.45,66.51,164.57,14.07,17.77,31.737
d032723,1mM,High_ROS,BL1-H,5378,8.584,1276,1165,1035,883.58,69.23,160.12,13.74,17.927,30.297
d032723,2mM,High_ROS,BL1-H,6841,10.283,1334,1183,1048,1263.63,94.73,183.84,15.54,22.803,33.307
d032723,2mM,High_ROS,BL1-H,6711,10.305,1305,1184,1035,1740.95,133.39,174.95,14.78,22.37,41.003
d032723,10mM,High_ROS,BL1-H,8514,14.307,1337,1202,1013,1904.14,142.41,195.7,16.28,28.38,66.737
d032723,10mM,High_ROS,BL1-H,8690,14.537,1312,1205,1012,1294.04,98.66,195.7,16.24,28.967,79.937
d032723,Ctrl,High_ROS,BL1-H,3416,5.445,1324,1154,1024,1506.22,113.76,149.74,12.98,11.387,39.977
d032723,Ctrl,High_ROS,BL1-H,3780,5.79,1260,1154,1013,803.25,63.72,148.26,12.85,12.6,31.65
d032723,0Pi,High_ROS,BL1-H,7108,6.302,1309,1190,1012,1028.95,78.62,180.88,15.2,23.693,42.853
d032723,0Pi,High_ROS,BL1-H,4288,4.868,1389,1171,1013,3973.7,286.16,171.98,14.69,14.293,34.592
d032723,0.2mM,High_ROS,BL1-H,13891,13.169,1392,1267,1035,1586.91,114.01,246.11,19.42,46.303,64.284
d032723,0.2mM,High_ROS,BL1-H,13603,13.96,1388,1268,1036,2132.57,153.63,244.63,19.29,45.343,67.245
d032723,1mM,High_ROS,BL1-H,14729,14.767,1458,1279,1013,3506.71,240.55,255.01,19.94,49.097,69.457
d032723,1mM,High_ROS,BL1-H,14455,13.369,1459,1281,1024,3584.78,245.64,255.01,19.91,48.183,72.97
d032723,2mM,High_ROS,BL1-H,15274,15.566,1445,1292,1013,2455.67,169.9,265.39,20.54,50.913,72.247
d032723,2mM,High_ROS,BL1-H,15127,14.742,1473,1290,1012,2985.44,202.65,263.9,20.46,50.423,79.876
d032723,10mM,High_ROS,BL1-H,17256,18.959,1534,1338,1012,3806.19,248.06,306.16,22.89,57.52,90.651
d032723,10mM,High_ROS,BL1-H,17286,19.856,1481,1339,1059,1981.55,133.83,303.93,22.7,57.62,94.495
d032723,Ctrl,High_ROS,BL1-H,4352,4.652,1615,1170,1012,5648.08,349.74,169.02,14.45,14.507,39.9
d032723,Ctrl,High_ROS,BL1-H,3773,3.397,1442,1152,1036,3662.56,254.02,149.74,13,12.577,32.244
d032623,0Pi,High_ROS,BL1-H,5552,5.611,1689,1215,1012,2281.68,135.08,232.77,19.16,17.963,18.507
d032623,0Pi,High_ROS,BL1-H,5060,5.415,1502,1181,1013,2883.8,191.99,182.36,15.44,21.503,16.867
d032623,0.2mM,High_ROS,BL1-H,5565,5.099,2938,1165,1012,9162.25,311.81,161.6,13.87,10.483,18.55
d032623,0.2mM,High_ROS,BL1-H,5134,4.69,2546,1156,1013,7493.83,294.29,152.71,13.21,12.64,17.113
d032623,1mM,High_ROS,BL1-H,12402,13.357,3625,1284,1035,8537.05,235.49,287.62,22.4,17.103,41.34
d032623,1mM,High_ROS,BL1-H,10649,11.939,3630,1255,1013,8536.39,235.14,265.39,21.15,19.003,35.497
d032623,2mM,High_ROS,BL1-H,15801,18.214,15518,3876,1012,18677.85,120.36,4209.1,108.59,27.16,52.67
d032623,2mM,High_ROS,BL1-H,15889,19.449,15968,5062,1013,18388.18,115.16,5961.53,117.77,29.403,52.963
d032623,10mM,High_ROS,BL1-H,22197,23.399,30013,30470,41292,21395.53,71.29,25656.39,84.2,24.383,73.99
d032623,10mM,High_ROS,BL1-H,22265,27.174,33427,34088,43339,22449.52,67.16,24421.39,71.64,25.64,74.217
d032623,Ctrl,High_ROS,BL1-H,4526,4.631,2536,1185,1012,5762.4,227.24,189.77,16.01,7.893,15.087
d032623,Ctrl,High_ROS,BL1-H,3715,4.029,2442,1186,1012,5412.73,221.66,194.22,16.38,8.423,12.383
d032523,0Pi,High_ROS,BL1-H,11768,16.992,1502,1330,1012,579.33,38.57,330.62,24.86,39.227,19.713
d032523,0Pi,High_ROS,BL1-H,4686,6.465,1427,1239,1048,946.15,66.31,249.82,20.17,15.62,74.94
d032523,0.2mM,High_ROS,BL1-H,6122,7.085,1408,1229,1012,1392.2,98.86,235.73,19.18,20.407,21.343
d032523,0.2mM,High_ROS,BL1-H,8985,10.54,1408,1261,1013,1449.79,102.98,257.97,20.46,29.95,31.253
d032523,1mM,High_ROS,BL1-H,7460,10.873,1336,1213,1013,875.06,65.52,210.53,17.36,24.867,71.057
d032523,1mM,High_ROS,BL1-H,4774,7.601,1371,1186,1035,2060.19,150.22,191.26,16.13,15.913,58.673
d032523,2mM,High_ROS,BL1-H,9663,16.131,10674,4372,1012,14493.36,135.78,4714.67,107.84,32.21,93.483
d032523,2mM,High_ROS,BL1-H,2613,3.773,1339,1163,1025,907.15,67.74,161.6,13.9,8.71,83.917
d032523,10mM,High_ROS,BL1-H,7049,10.833,1344,1202,1011,3194.11,237.59,201.63,16.77,23.497,99.233
d032523,10mM,High_ROS,BL1-H,3024,4.777,1282,1167,1012,781.24,60.95,164.57,14.1,10.08,96.06
d032523,Ctrl,High_ROS,BL1-H,9086,17.891,10007,4119,1013,13152.06,131.43,4410.73,107.08,30.287,17.103
d032523,Ctrl,High_ROS,BL1-H,2368,3.653,1345,1160,1034,1316.73,97.93,166.05,14.31,7.893,79.003
d032423,0Pi,High_ROS,BL1-H,10686,9.52,1316,1232,1047,341.58,25.96,222.39,18.05,35.62,18.173
d032423,0Pi,High_ROS,BL1-H,3074,4.496,1227,1149,1012,538.87,43.91,144.55,12.59,10.069,20.416
d032423,0.2mM,High_ROS,BL1-H,5478,7.609,1261,1175,1013,491.9,39.02,170.5,14.51,17.834,18.471
d032423,0.2mM,High_ROS,BL1-H,8008,11.155,1294,1208,1013,597.72,46.2,200.15,16.57,26.313,16.637
d032423,1mM,High_ROS,BL1-H,8945,13.609,1303,1216,1013,681.68,52.33,204.6,16.83,29.295,48.861
d032423,1mM,High_ROS,BL1-H,8077,12.313,1584,1223,1012,4925.75,310.89,217.94,17.82,26.408,44.596
d032423,2mM,High_ROS,BL1-H,7072,11.308,9981,1602,1047,18700.02,187.36,811.72,50.69,23.3,65.194
d032423,2mM,High_ROS,BL1-H,2773,4.08,1261,1147,1013,1188.2,94.22,143.81,12.54,9.013,68.257
d032423,10mM,High_ROS,BL1-H,5305,7.908,1250,1171,1024,501.3,40.09,170.5,14.56,17.235,80.044
d032423,10mM,High_ROS,BL1-H,3786,5.526,1362,1165,1036,1816.42,133.38,161.6,13.87,12.136,84.42
d032423,Ctrl,High_ROS,BL1-H,4371,7.604,7337,1581,1025,15504.72,211.33,785.78,49.7,14.307,11.958
d032423,Ctrl,High_ROS,BL1-H,2637,3.99,1237,1146,1034,761.23,61.54,140.85,12.29,8.46,13.576
d032323,0Pi,High_ROS,BL1-H,6585,9.314,1353,1195,1048,4126.83,304.92,191.26,16,21.95,19.307
d032323,0Pi,High_ROS,BL1-H,2992,4.553,1386,1144,1012,2625.41,189.49,148.26,12.96,9.973,17.067
d032323,0.2mM,High_ROS,BL1-H,7040,9.862,1353,1197,1035,2053.72,151.79,191.26,15.98,23.467,14.5
d032323,0.2mM,High_ROS,BL1-H,8664,13.613,1354,1229,1012,1037.79,76.66,223.87,18.22,28.88,16.414
d032323,1mM,High_ROS,BL1-H,8842,15.786,1427,1208,1013,3519.72,246.68,194.22,16.08,29.473,39.907
d032323,1mM,High_ROS,BL1-H,6072,10.717,1568,1190,1012,4842.58,308.77,188.29,15.82,20.24,35.091
d032323,2mM,High_ROS,BL1-H,14032,24.589,52224,37463,97395,51435.27,98.49,49907.28,133.22,46.773,45.74
d032323,2mM,High_ROS,BL1-H,2634,4.07,1356,1146,1047,2864.65,211.24,139.36,12.16,8.78,55.687
d032323,10mM,High_ROS,BL1-H,5548,8.34,1280,1174,1012,958.45,74.87,170.5,14.52,18.493,78.239
d032323,10mM,High_ROS,BL1-H,4191,6.605,1417,1165,1013,3263.4,230.3,163.09,14,13.97,81.559
d032323,Ctrl,High_ROS,BL1-H,13318,23.306,45101,29035,66179,47355.41,105,40666.23,140.06,44.393,11.663
d032323,Ctrl,High_ROS,BL1-H,2924,4.535,1326,1149,1036,1868.52,140.87,143.81,12.52,9.747,11.293
